Country-years:
   South Africa (2014,2013,2012,2011,2010,2009,2008,2007)
   United States of America (2014,2013,2012,2011,2010,2009,2008,2007)
   Japan (2014,2013,2012,2011,2010,2009,2008,2007)
   Finland (2014,2013,2012,2011,2010,2009,2008,2007)
   Germany (2014,2013,2012,2011,2010,2009,2008,2007)
   Netherlands (2014,2013,2012,2011,2010,2009,2008,2007)
   Norway (2014,2013,2012,2011,2010,2009,2008,2007)
   Sweden (2014,2013,2012,2011,2010,2009,2008,2007)
   United Kingdom (2013,2012,2011,2009,2008,2007)
Cause groups:
  A:C00-D48
  B:TOT
Sex: All sexes
Data source: WHO mortality database
Date: Tue Oct 31 13:08:12 CET 2017
Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Japan,2011,104,B,F,00,596526,1194,203,143,118,90,345,286,609,976,1292,1775,2985,4084,5502,7646,12249,22301,25501,37952,62521,95865,124155,110592,77549,593
Japan,2011,104,A,F,00,149310,18,4,16,8,15,58,58,69,94,170,424,1018,1664,2555,3977,6756,12060,12526,15947,21756,25388,24011,14601,6114,3
Japan,2011,104,B,M,00,656540,1269,233,146,124,102,404,442,1131,1988,2391,3141,4979,7106,9477,14791,25206,49819,56561,75161,105186,124245,98638,51432,21785,783
Japan,2011,104,A,M,00,218506,13,13,11,19,13,77,78,115,141,188,354,693,1269,2180,4551,9932,22620,26511,33141,40907,39507,24339,9225,2594,15
Netherlands,2011,104,B,F,00,70482,279,16,12,5,6,25,42,72,95,128,173,320,623,1108,1725,2385,3467,4092,5211,7742,11952,14917,11047,5040,0
Netherlands,2011,104,A,F,00,20561,2,5,3,0,4,10,15,14,15,35,67,141,349,637,1074,1461,2142,2272,2497,2764,3001,2478,1221,354,0
Netherlands,2011,104,B,M,00,65259,375,22,22,16,5,48,64,145,232,228,272,434,755,1318,2031,3250,5007,6207,7729,10107,11602,9546,4573,1271,0
Netherlands,2011,104,A,M,00,23481,3,2,3,6,0,13,18,21,26,23,55,110,229,431,835,1553,2546,3206,3605,3963,3718,2243,755,117,0
Norway,2011,104,B,F,00,21275,50,7,2,5,3,7,19,57,40,49,66,84,129,237,357,579,841,1044,1210,1955,3286,4904,4396,1948,0
Norway,2011,104,A,F,00,5159,2,0,1,3,0,6,7,3,3,11,21,35,48,130,193,353,455,531,541,654,802,755,477,128,0
Norway,2011,104,B,M,00,20029,90,5,2,4,6,13,14,96,130,123,157,184,253,407,540,859,1285,1761,1929,2554,3500,3584,1979,554,0
Norway,2011,104,A,M,00,5940,0,0,0,0,1,3,1,5,11,9,16,28,46,103,161,325,537,784,778,929,1062,750,307,84,0
South Africa,2011,103,B,F,00,247209,13187,2568,1042,646,516,2035,1798,3559,8904,16146,17795,17491,15497,14928,14356,14233,14951,14277,16828,16492,16736,11174,8202,3206,642
South Africa,2011,103,A,F,00,18803,33,17,18,13,15,53,53,93,183,363,552,831,1057,1414,1816,1901,2160,1989,2051,1719,1337,693,339,83,20
South Africa,2011,103,B,M,00,265169,14888,2948,1142,696,540,2356,2100,4124,8585,14968,19641,22469,20919,20968,21104,20379,20414,16988,16536,11705,9962,5989,3325,1055,1368
South Africa,2011,103,A,M,00,18639,42,30,23,20,19,58,49,102,129,241,349,528,701,1169,1730,2175,2510,2384,2341,1708,1281,715,254,59,22
South Africa,2011,103,B,U,00,2108,499,30,11,4,1,9,5,25,83,145,140,114,99,68,73,54,58,26,21,18,14,13,3,4,591
South Africa,2011,103,A,U,00,58,2,0,0,0,0,0,0,0,0,2,0,5,4,5,7,3,5,0,3,3,1,0,1,0,17
Sweden,2011,104,A,F,00,10879,3,1,1,2,3,9,6,6,12,21,37,70,105,200,334,521,948,1280,1360,1492,1763,1685,817,203,0
Sweden,2011,104,B,M,00,43596,128,18,3,8,8,22,22,112,204,199,204,239,378,642,912,1567,2526,4010,4340,5761,7571,8217,5095,1410,0
