Country,Cause group,Year,ICD rev and list,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
United Kingdom,B,2008,208,0,579697,3745,264,142.0,121.0,88.0,369,379,1385,2031,2362,3023,4774,7191,10122,13978,20541,31925,39339,55602,78773,101053,106361,63882.0,32247.0,0
United Kingdom,B,2009,208,0,559617,3677,223,147.0,98.0,81.0,320,404,1326,1850,2363,2810,4581,7291,9910,13536,20000,31315,38360,53875,74462,96575,105806,59224.0,31383.0,0
United Kingdom,B,2011,208,0,552232,3502,261,140.0,88.0,78.0,293,324,997,1655,2108,2728,4046,6709,9748,13565,18897,30634,38833,52234,70576,93544,100453,67877.0,32942.0,0
United Kingdom,B,2012,208,0,569024,3347,238,117.0,87.0,81.0,325,340,959,1550,1982,2661,3690,6315,9690,13384,18736,29012,41101,51932,71835,96291,104078,76489.0,34784.0,0
United Kingdom,B,2013,208,0,576458,3065,253,131.0,89.0,81.0,295,337,933,1496,1996,2782,3807,6413,9728,13759,19026,28361,42380,52165,72499,96885,104537,81400.0,34040.0,0
United States of America,A,2007,208,0,577098,131,90,119.0,108.0,106.0,521,522,705,1029,1388,2215,4378,9251,19066,31804,46111,58477,66633,74239,85056,83273,58243,25949.0,7676.0,8
United States of America,A,2008,208,0,579939,132,102,110.0,107.0,121.0,516,462,737,1021,1491,2182,4333,8672,18880,32237,46004,59466,69086,74590,82987,82697,59453,26698.0,7847.0,8
United States of America,A,2009,208,0,582324,135,91,109.0,103.0,100.0,517,464,680,1028,1490,2320,4352,8470,18508,32874,46808,61524,69798,74542,81069,81462,61012,26865.0,7988.0,15
United States of America,A,2010,208,0,589823,110,96,96.0,113.0,104.0,476,523,647,1052,1492,2298,4086,8008,17882,33111,47467,63499,71587,75659,80296,81465,62725,28392.0,8634.0,5
United States of America,A,2011,208,0,591739,124,96,88.0,112.0,103.0,482,450,684,1027,1387,2276,4019,7949,16895,32673,48524,65537,71706,76478,79501,80499,62588,29817.0,8718.0,6
United States of America,A,2012,208,0,597738,118,113,98.0,116.0,122.0,488,512,658,998,1446,2362,3820,7775,16255,32418,49634,65006,75744,78562,79534,79284,62874,30702.0,9083.0,16
United States of America,A,2013,208,0,600163,117,86,96.0,104.0,89.0,481,480,665,913,1424,2388,3872,7742,15511,31330,49743,65088,77272,81059,79566,78210,62846,31802.0,9270.0,9
United States of America,A,2014,208,0,607794,106,89,85.0,89.0,98.0,473,454,650,995,1427,2340,3993,7527,14766,30718,50588,66309,79194,83002,81308,77546,62943,33308.0,9773.0,13
United States of America,B,2007,208,0,2423895,29141,1940,1178.0,883.0,703.0,2711,3436,13301,20690,20937,21648,30891,48737,77750,106959,132477,154659,175006,214272,289045,363666,359236,240184.0,114244.0,201
United States of America,B,2008,208,0,2471984,28068,1967,1169.0,896.0,698.0,2502,3149,12407,19791,20786,21489,29864,46506,77417,109125,134708,161474,183450,218129,287370,366190,372552,251381.0,120758.0,138
United States of America,B,2009,312,0,2437944,26260,1753,1161.0,880.0,675.0,2536,3142,11553,18937,20664,21937,29560,45221,76478,111240,137805,165679,185842,215314,275039,352785,369163,245547.0,118515.0,258
United States of America,B,2010,208,0,2469288,24590,1736,1110.0,847.0,634.0,2342,2966,10908,18697,20310,22034,28059,42058,73649,109718,140036,170928,190030,217235,273397,352350,379464,259544.0,126518.0,128
United States of America,B,2011,208,0,2515458,23985,1672,1063.0,837.0,674.0,2451,2950,10594,19073,20572,23176,27478,42415,71674,111573,144272,179043,193475,221577,272276,353949,383912,274213.0,132420.0,134
United States of America,B,2012,208,0,2543279,23629,1627,1079.0,820.0,692.0,2334,2866,10074,19108,20992,23599,27372,41790,68479,110984,148978,180628,205490,226856,271936,348492,384262,284273.0,136772.0,147
United States of America,B,2013,208,0,2596993,23440,1657,1015.0,751.0,645.0,2427,2913,9480,19006,21056,24407,27821,41752,66833,110891,152981,185146,214509,239920,277314,347699,389258,294187.0,141753.0,132
United States of America,B,2014,208,0,2626418,23215,1456,991.0,741.0,642.0,2357,2893,9586,19205,21925,25252,29325,41671,65016,110901,157170,191638,222834,248707,282072,342432,381539,300366.0,144321.0,163
